Metabolite,Biospecimen,Concentration,Patient Status,Age,Sex,Disease
1-Methylinosine (HMDB0002721),Urine,3.14 +/- 2.04 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Breast cancer
L-alpha-Aminobutyric acid (HMDB0000452),Urine,1.27 +/- 2.4 umol/mmol creatinine,Abnormal,Adult (>18 years old),Both,Cancer with metastatic bone disease
1-Methyladenosine (HMDB0003331),Blood,0.145 uM,Abnormal,Adult (>18 years old),Female,Cervical cancer
1-Methyladenosine (HMDB0003331),Blood,0.134 +/- 0.111 uM,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lysine (HMDB0000182),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Alanine (HMDB0000161),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Aspartic acid (HMDB0000191),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Glycine (HMDB0000123),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Histidine (HMDB0000177),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Isoleucine (HMDB0000172),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Methionine (HMDB0000696),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Sarcosine (HMDB0000271),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Threonine (HMDB0000167),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Valine (HMDB0000883),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
Pyruvic acid (HMDB0000243),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Lactic acid (HMDB0000190),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tryptophan (HMDB0000929),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
L-Tyrosine (HMDB0000158),Blood,Not Quantified,Abnormal,Adult (>18 years old),Both,Colorectal cancer
