Biospecimen,Status,Value,Age,Sex,Condition,Reference,Details,ID
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0012141
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Metastatic melanoma,28923537,details,HMDB0012141
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Attachment loss,31026179,details,HMDB0012141
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Missing teeth,31026179,details,HMDB0012141
Saliva,Detected but not Quantified,Not Quantified,Adult (>18 years old),Male,Periodontal Probing Depth,31026179,details,HMDB0012141
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Bladder cancer,28157703,details,HMDB0012141
Urine,Detected and Quantified,782-2500 umol/mmol creatinine,Infant (0-1 year old),Both,Short-chain enoyl-CoA hydratase deficiency,26163321,details,HMDB0012141
Urine,Detected and Quantified,27-406 umol/mmol creatinine,Not Specified,Not Specified,Methylmalonyl-CoA mutase deficiency,26163321,details,HMDB0012141
Urine,Detected and Quantified,82-187 umol/mmol creatinine,Not Specified,Not Specified,Propionic acidemia,26163321,details,HMDB0012141
Urine,Detected and Quantified,566-704 umol/mmol creatinine,Children (1-13 years old),Female,3-Hydroxyisobutyryl-coa hydrolase deficiency,26163321,details,HMDB0012141
Urine,Detected and Quantified,638 umol/mmol creatinine,Not Specified,Not Specified,Cobalamin A disease,26163321,details,HMDB0012141
Urine,Detected and Quantified,33 umol/mmol creatinine,Not Specified,Not Specified,Cobalamin C disease,26163321,details,HMDB0012141
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0002264
Blood,Detected and Quantified,0.0019 +/- 0.00078 uM,Adult (>18 years old),Both,After alcohol intake,8651468,details,HMDB0005199
Blood,Detected and Quantified,0.0010 +/- 0.00043 uM,Adult (>18 years old),Both,Hypertension,8255371,details,HMDB0005199
Cerebrospinal Fluid (CSF),Detected and Quantified,0.005 +/- 0.001  uM,Adult (>18 years old),Not Specified,Parkinson's disease,14978525,details,HMDB0005199
Cerebrospinal Fluid (CSF),Detected and Quantified,0.004 +/- 0.001  uM,Adult (>18 years old),Not Specified,Multiple System Atrophy (MSA),10656535,details,HMDB0005199
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0005199
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0005199
Blood,Detected and Quantified,38.0 +/- 5.0 uM,Adult (>18 years old),Both,Diabetes,2614280,details,HMDB0000023
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0000023
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0000023
Urine,Detected and Quantified,12.772 +/- 10.179 umol/mmol creatinine,Children (1 - 13 years old),Not Specified,Eosinophilic esophagitis,Analysis of 30 no...,details,HMDB0000023
Urine,Detected and Quantified,17.5 (2.0-33.0) umol/mmol creatinine,Adult (>18 years old),Both,3-Hydroxyisobutyric aciduria,MetaGene: Metabol...,details,HMDB0000023
Urine,Detected and Quantified,225.0 (60.0-390.0) umol/mmol creatinine,Children (1-13 years old),Both,3-Hydroxyisobutyric Aciduria,MetaGene: Metabol...,details,HMDB0000023
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0033433
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0033433
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0033433
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0001921
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0002327
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0002327
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0002327
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0002327
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0031193
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,27015276,details,HMDB0031193
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0031193
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0031193
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0031193
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0002123
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0002123
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27015276,details,HMDB0002123
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0002123
Urine,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0002123
Urine,Detected and Quantified,2.19 (0.0-5.0) umol/mmol creatinine,Adult (>18 years old),Both,Asthma,15537072,details,HMDB0002123
Blood,Detected and Quantified,0.13 +/- 0.13 uM,Adult (>18 years old),Female,Breast cancer,17668437,details,HMDB0000002
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0000002
Urine,Detected and Quantified,0.96 (0.12-2.11) umol/mmol creatinine,Adult (>18 years old),Both,Leukemia,9464484,details,HMDB0000002
Blood,Expected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0061918
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal Cancer,27275383,details,HMDB0061918
Urine,Detected but not Quantified,Not Quantified,Not Specified,Not Specified,Cancer patients undergoing total body irradiation,31424920,details,HMDB0061918
Blood,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal adenoma,27510537,details,HMDB0001857
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Inflammatory bowel disease,26848182,details,HMDB0001857
Feces,Detected but not Quantified,Not Quantified,Adult (>18 years old),Both,Colorectal cancer,25037050,details,HMDB0001857
