Condition,ID,Metabolite
11-beta-hydroxylase deficiency,HMDB0000053,Androstenedione
11-beta-hydroxylase deficiency,HMDB0000234,Testosterone
11-beta-hydroxylase deficiency,HMDB0001032,Dehydroepiandrosterone sulfate
11-beta-hydroxylase deficiency,HMDB0003231,Vaccenic acid
11-beta-hydroxylase deficiency,HMDB0005972,Tetrahydrodeoxycortisol
"2,4-dienoyl-coa reductase deficiency",HMDB0000062,L-Carnitine
"2,4-dienoyl-coa reductase deficiency",HMDB0000182,L-Lysine
"2,4-dienoyl-coa reductase deficiency",HMDB0000190,L-Lactic acid
2-ketoadipic acidemia,HMDB0000321,2-Hydroxyadipic acid
2-ketoadipic acidemia,HMDB0000510,Aminoadipic acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000011,3-Hydroxybutyric acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000060,Acetoacetic acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000094,Citric acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000134,Fumaric acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000156,Malic acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000190,L-Lactic acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000208,Oxoglutaric acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000243,Pyruvic acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000254,Succinic acid
2-ketoglutarate dehydrogenase complex deficiency,HMDB0000744,Malate
2-methyl-3-hydroxybutyryl-coa dehydrogenase deficiency,HMDB0000122,D-Glucose
2-methyl-3-hydroxybutyryl-coa dehydrogenase deficiency,HMDB0000190,L-Lactic acid
2-methyl-3-hydroxybutyryl-coa dehydrogenase deficiency,HMDB0003345,alpha-D-Glucose
2-methylbutyryl-coa dehydrogenase deficiency (sbacdd),HMDB0000122,D-Glucose
2-methylbutyryl-coa dehydrogenase deficiency (sbacdd),HMDB0000557,L-Alloisoleucine
2-methylbutyryl-coa dehydrogenase deficiency (sbacdd),HMDB0000678,Isovalerylglycine
2-methylbutyryl-coa dehydrogenase deficiency (sbacdd),HMDB0003345,alpha-D-Glucose
21-hydroxylase deficiency,HMDB0000053,Androstenedione
21-hydroxylase deficiency,HMDB0000122,D-Glucose
21-hydroxylase deficiency,HMDB0000234,Testosterone
21-hydroxylase deficiency,HMDB0000562,Creatinine
21-hydroxylase deficiency,HMDB0003345,alpha-D-Glucose
27-hydroxylase deficiency,HMDB0000067,Cholesterol
27-hydroxylase deficiency,HMDB0000801,Phytanic acid
27-hydroxylase deficiency,HMDB0000908,5alpha-Cholestanol
27-hydroxylase deficiency,HMDB0001893,alpha-Tocopherol
27-hydroxylase deficiency,HMDB0059655,2-Hydroxyglutarate
2hrs after administration of 500mg,HMDB0001929,Levofloxacin
2hrs after administration of 750mg,HMDB0001929,Levofloxacin
2hrs after iv administration of 500mg,HMDB0001929,Levofloxacin
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000042,Acetic acid
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000043,Betaine
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000094,Citric acid
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000123,Glycine
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000149,Ethanolamine
3-hydroxy-3- methylglutaryl-coa lyase (hl) deficency,HMDB0000177,L-Histidine
