Disease,ID
Metastatic melanoma,HMDB0012141
Colorectal cancer,HMDB0012141
Attachment loss,HMDB0012141
Missing teeth,HMDB0012141
Periodontal Probing Depth,HMDB0012141
Methylmalonyl-CoA mutase deficiency,HMDB0012141
3-Hydroxyisobutyryl-coa hydrolase deficiency,HMDB0012141
Cobalamin A disease,HMDB0012141
"Methylmalonic aciduria and homocystinuria, cblC type",HMDB0012141
Colorectal cancer,HMDB0002264
Hypertension,HMDB0005199
Parkinson's disease,HMDB0005199
Multiple system atrophy,HMDB0005199
Colorectal cancer,HMDB0005199
Diabetes mellitus type 2,HMDB0000023
Colorectal cancer,HMDB0000023
3-Hydroxyisobutyric aciduria,HMDB0000023
Eosinophilic esophagitis,HMDB0000023
Colorectal cancer,HMDB0033433
Colorectal cancer,HMDB0001921
Colorectal cancer,HMDB0002327
Colorectal cancer,HMDB0031193
Colorectal cancer,HMDB0002123
Asthma,HMDB0002123
Perillyl alcohol administration for cancer treatment,HMDB0000002
Colorectal cancer,HMDB0000002
Leukemia,HMDB0000002
Colorectal cancer,HMDB0061918
Inflammatory bowel disease,HMDB0001857
Colorectal cancer,HMDB0001857
Asthma,HMDB0001857
Eosinophilic esophagitis,HMDB0001857
Diabetes mellitus type 2,HMDB0002712
Pancreatic cancer,HMDB0002712
Alzheimer's disease,HMDB0002712
Attachment loss,HMDB0002712
Missing teeth,HMDB0002712
Periodontal Probing Depth,HMDB0002712
Colorectal cancer,HMDB0011103
Asthma,HMDB0011103
Ulcerative colitis,HMDB0003424
Colorectal cancer,HMDB0003424
Prostate cancer,HMDB0011729
Leukemia,HMDB0003331
Ovarian cancer,HMDB0003331
Uremia,HMDB0003331
Kidney disease,HMDB0003331
Stomach cancer,HMDB0003331
Hepatocellular carcinoma,HMDB0003331
Cholangiocarcinoma,HMDB0003331
Colorectal cancer,HMDB0003331
Cervical cancer,HMDB0003331
Kidney disease,HMDB0001563
Uremia,HMDB0001563
Colorectal cancer,HMDB0001563
Perillyl alcohol administration for cancer treatment,HMDB0001563
Uremia,HMDB0002721
Breast cancer,HMDB0002721
Cirrhosis,HMDB0000699
Lung Cancer,HMDB0000699
Pellagra,HMDB0000699
Autosomal  dominant polycystic kidney disease,HMDB0000699
Eosinophilic esophagitis,HMDB0000699
Colorectal cancer,HMDB0003099
Canavan disease,HMDB0003099
Colorectal cancer,HMDB0010738
Asthma,HMDB0010738
Parkinson's disease,HMDB0002017
Colorectal cancer,HMDB0002017
Colorectal cancer,HMDB0061697
Colorectal cancer,HMDB0060038
Kidney cancer,HMDB0004029
Schizophrenia,HMDB0002231
Colorectal cancer,HMDB0002231
Colorectal cancer,HMDB0031072
Autosomal  dominant polycystic kidney disease,HMDB0004667
Colorectal cancer,HMDB0004667
Colorectal cancer,HMDB0061707
Colorectal cancer,HMDB0061709
Thyroid cancer,HMDB0000352
Colorectal cancer,HMDB0037397
Prostate cancer,HMDB0001926
Cirrhosis,HMDB0003156
Colorectal cancer,HMDB0003156
Colorectal cancer,HMDB0029649
Uremia,HMDB0001123
Colorectal cancer,HMDB0001123
Eosinophilic esophagitis,HMDB0001123
Colorectal cancer,HMDB0034252
Colorectal cancer,HMDB0094649
Ulcerative colitis,HMDB0031230
Colorectal cancer,HMDB0031230
Autism,HMDB0031230
Pervasive developmental disorder not otherwise specified,HMDB0031230
Colorectal cancer,HMDB0000439
Eosinophilic esophagitis,HMDB0000439
Pregnancy,HMDB0000407
Maple syrup urine disease,HMDB0000407
Colorectal cancer,HMDB0000407
Eosinophilic esophagitis,HMDB0000407
Dihydrolipoamide Dehydrogenase Deficiency,HMDB0000407
Colorectal cancer,HMDB0000317
Crohn's disease,HMDB0000317
Ulcerative colitis,HMDB0000317
Tooth Decay,HMDB0000317
Maple syrup urine disease,HMDB0000317
Dihydrolipoamide Dehydrogenase Deficiency,HMDB0000317
Eosinophilic esophagitis,HMDB0000317
Colorectal cancer,HMDB0062547
Colorectal cancer,HMDB0000321
2-Ketoadipic acidemia,HMDB0000321
Alpha-aminoadipic aciduria,HMDB0000321
Colorectal cancer,HMDB0000008
Schizophrenia,HMDB0000008
Early preeclampsia,HMDB0000008
Pregnancy,HMDB0000008
Late-onset preeclampsia,HMDB0000008
Alzheimer's disease,HMDB0000008
Frontotemporal dementia,HMDB0000008
Lewy body disease,HMDB0000008
Pyruvate dehydrogenase deficiency,HMDB0000008
Eosinophilic esophagitis,HMDB0000008
Dihydrolipoamide Dehydrogenase Deficiency,HMDB0000008
Colorectal cancer,HMDB0094656
D-2-hydroxyglutaric aciduria,HMDB0059655
L-2-Hydroxyglutaric aciduria,HMDB0059655
Colorectal cancer,HMDB0059655
Supragingival Plaque,HMDB0059655
Glutaric aciduria II,HMDB0059655
Eosinophilic esophagitis,HMDB0059655
"D, L-2-hydroxyglutaric aciduria",HMDB0059655
Cerebrotendinous xanthomatosis,HMDB0059655
3-Hydroxyacyl-CoA dehydrogenase deficiency,HMDB0059655
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome",HMDB0059655
Colorectal cancer,HMDB0031057
Colorectal cancer,HMDB0002261
Colorectal cancer,HMDB0062549
Ovarian cancer,HMDB0000405
Colorectal cancer,HMDB0000422
Eosinophilic esophagitis,HMDB0000422
Colorectal cancer,HMDB0094657
Eosinophilic esophagitis,HMDB0094657
Colorectal cancer,HMDB0094646
Ovarian cancer,HMDB0011749
Crohn's disease,HMDB0011749
Ulcerative colitis,HMDB0011749
Colorectal cancer,HMDB0011749
Colorectal cancer,HMDB0061703
Colorectal cancer,HMDB0062651
Encephalitis,HMDB0001336
Hypothyroidism,HMDB0001336
Alzheimer's disease,HMDB0001336
Colorectal cancer,HMDB0001336
Colorectal cancer,HMDB0000423
Eosinophilic esophagitis,HMDB0000423
Colorectal cancer,HMDB0000400
Obesity,HMDB0001982
Colorectal cancer,HMDB0001982
Irritable bowel syndrome,HMDB0033752
Colorectal cancer,HMDB0033752
Irritable bowel syndrome,HMDB0000375
Colorectal cancer,HMDB0000375
Diverticular disease,HMDB0000375
Eosinophilic esophagitis,HMDB0000375
Colorectal cancer,HMDB0031654
Methylmalonate semialdehyde dehydrogenase deficiency,HMDB0003911
Colorectal cancer,HMDB0003911
Eosinophilic esophagitis,HMDB0003911
D-Lactic Acidosis,HMDB0003911
Uremia,HMDB0061112
Colorectal cancer,HMDB0061112
Colorectal cancer,HMDB0012154
Colorectal cancer,HMDB0002466
Diabetes mellitus type 2,HMDB0000011
Obesity,HMDB0000011
Pancreatic cancer,HMDB0000011
Colorectal cancer,HMDB0000011
Schizophrenia,HMDB0000011
Early preeclampsia,HMDB0000011
Pregnancy,HMDB0000011
Late-onset preeclampsia,HMDB0000011
2-Ketoglutarate dehydrogenase complex deficiency,HMDB0000011
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000011
3-Hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000011
Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency,HMDB0000011
Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency,HMDB0000011
Ketotic hypoglycemia,HMDB0000011
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000011
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0000011
Pyruvate dehydrogenase phosphatase deficiency,HMDB0000011
Carnitine palmitoyltransferase I deficiency,HMDB0000011
Anoxia,HMDB0000011
Meningitis,HMDB0000011
Ulcerative colitis,HMDB0000011
Crohn's disease,HMDB0000011
Alzheimer's disease,HMDB0000011
Frontotemporal dementia,HMDB0000011
Lewy body disease,HMDB0000011
Eosinophilic esophagitis,HMDB0000011
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000011
Fumarase deficiency,HMDB0000011
3-Hydroxyisobutyric acid dehydrogenase deficiency,HMDB0000011
3-Hydroxydicarboxylic aciduria,HMDB0000011
Pyruvate carboxylase deficiency,HMDB0000011
3-Hydroxyacyl-CoA dehydrogenase deficiency,HMDB0013127
Ketosis,HMDB0013127
Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency,HMDB0013127
3-Hydroxyisobutyryl-coa hydrolase deficiency,HMDB0013127
Colorectal cancer,HMDB0013127
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0002203
Colorectal cancer,HMDB0002203
3-Hydroxydicarboxylic aciduria,HMDB0002203
Ovarian cancer,HMDB0000413
3-Hydroxydicarboxylic aciduria,HMDB0000413
Colorectal cancer,HMDB0006116
Eosinophilic esophagitis,HMDB0006116
3-Methylglutaconic aciduria type I,HMDB0000754
Biotinidase deficiency,HMDB0000754
Pancreatic cancer,HMDB0000754
Early preeclampsia,HMDB0000754
Pregnancy,HMDB0000754
Late-onset preeclampsia,HMDB0000754
3-Methyl-crotonyl-glycinuria,HMDB0000754
Colorectal cancer,HMDB0000754
Attachment loss,HMDB0000754
Periodontal Probing Depth,HMDB0000754
Lung Cancer,HMDB0000754
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000754
Diabetes mellitus type 1,HMDB0000754
Autosomal  dominant polycystic kidney disease,HMDB0000754
Eosinophilic esophagitis,HMDB0000754
3-Methylglutaconic Aciduria type VI,HMDB0000754
Colorectal cancer,HMDB0000355
Eosinophilic esophagitis,HMDB0000355
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000355
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0001954
Colorectal cancer,HMDB0001954
Colorectal cancer,HMDB0000440
Phenylketonuria,HMDB0000440
Eosinophilic esophagitis,HMDB0000440
Colorectal cancer,HMDB0000325
Colorectal cancer,HMDB0061656
Maple syrup urine disease,HMDB0000491
Colorectal cancer,HMDB0000491
Attachment loss,HMDB0000491
Missing teeth,HMDB0000491
Periodontal Probing Depth,HMDB0000491
Prosthesis/Missing teeth,HMDB0000491
Eosinophilic esophagitis,HMDB0000491
Crohn's disease,HMDB0000555
Ulcerative colitis,HMDB0000555
Colorectal cancer,HMDB0000555
Refsum's disease,HMDB0000555
Eosinophilic esophagitis,HMDB0000555
Kidney disease,HMDB0000479
Early preeclampsia,HMDB0000479
Pregnancy,HMDB0000479
Alzheimer's disease,HMDB0000479
Colorectal cancer,HMDB0000479
Diabetes mellitus type 2,HMDB0000479
Obesity,HMDB0000479
Propionic acidemia,HMDB0000479
Eosinophilic esophagitis,HMDB0000479
Ulcerative colitis,HMDB0000466
Nonalcoholic fatty liver disease,HMDB0000466
Autism,HMDB0000466
Pervasive developmental disorder not otherwise specified,HMDB0000466
Crohn's disease,HMDB0000466
Colorectal cancer,HMDB0000466
Colorectal cancer,HMDB0001527
Cirrhosis,HMDB0001527
Ovarian cancer,HMDB0004813
Colorectal cancer,HMDB0001886
Asthma,HMDB0001886
Autosomal  dominant polycystic kidney disease,HMDB0001886
Eosinophilic esophagitis,HMDB0001886
Colorectal cancer,HMDB0000502
Colorectal cancer,HMDB0094710
Colorectal cancer,HMDB0000417
Colorectal cancer,HMDB0000553
Colorectal cancer,HMDB0000415
Colorectal cancer,HMDB0003681
Colorectal cancer,HMDB0062551
Cirrhosis,HMDB0003464
Uremia,HMDB0003464
Colorectal cancer,HMDB0003464
Prostate cancer,HMDB0011718
Colorectal cancer,HMDB0011718
Obesity,HMDB0011718
Supradiaphragmatic malignancy,HMDB0000500
Colorectal cancer,HMDB0000500
Eosinophilic esophagitis,HMDB0000500
Colorectal cancer,HMDB0011724
Succinic semialdehyde dehydrogenase deficiency,HMDB0000710
Colorectal cancer,HMDB0000710
Attachment loss,HMDB0000710
Missing teeth,HMDB0000710
Periodontal Probing Depth,HMDB0000710
Tooth Decay,HMDB0000710
Glutaric aciduria II,HMDB0000710
Eosinophilic esophagitis,HMDB0000710
Colorectal cancer,HMDB0002035
Colorectal cancer,HMDB0001988
Uremia,HMDB0013678
Colorectal cancer,HMDB0013678
Eosinophilic esophagitis,HMDB0013678
Peripheral vascular disease,HMDB0004362
Uremia,HMDB0004362
Parkinson's disease,HMDB0004362
Alzheimer's disease,HMDB0004362
Colorectal cancer,HMDB0004362
Colorectal cancer,HMDB0000707
Attachment loss,HMDB0000707
Periodontal Probing Depth,HMDB0000707
Phenylketonuria,HMDB0000707
Hawkinsinuria,HMDB0000707
"Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome",HMDB0000707
Alzheimer's disease,HMDB0000725
Hemodialysis,HMDB0000725
Colorectal cancer,HMDB0000725
Hydroxyprolinemia,HMDB0000725
Crohn's disease,HMDB0000725
Ulcerative colitis,HMDB0000725
Attachment loss,HMDB0000725
Missing teeth,HMDB0000725
Periodontal Probing Depth,HMDB0000725
Tooth Decay,HMDB0000725
Iminoglycinuria,HMDB0000725
Eosinophilic esophagitis,HMDB0000725
Colorectal cancer,HMDB0000873
Smoking,HMDB0000873
Crohn's disease,HMDB0000017
Iron deficiency,HMDB0000017
Colorectal cancer,HMDB0000017
Ulcerative colitis,HMDB0000017
Eosinophilic esophagitis,HMDB0000017
Colorectal cancer,HMDB0001161
Colorectal cancer,HMDB0001173
Isovaleric acidemia,HMDB0010378
Colorectal cancer,HMDB0010378
Colorectal cancer,HMDB0032985
Colorectal cancer,HMDB0004400
Irritable bowel syndrome,HMDB0003355
Ulcerative colitis,HMDB0003355
Colorectal cancer,HMDB0003355
Periodontal Probing Depth,HMDB0003355
Supragingival Calculus,HMDB0003355
Supragingival Plaque,HMDB0003355
Colorectal cancer,HMDB0003818
Aromatic L-amino acid decarboxylase deficiency,HMDB0000472
Crohn's disease,HMDB0000472
Ulcerative colitis,HMDB0000472
Colorectal cancer,HMDB0000472
Colorectal cancer,HMDB0000525
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000525
Alzheimer's disease,HMDB0000450
Colorectal cancer,HMDB0000450
Eosinophilic esophagitis,HMDB0000450
Hydroxylysinuria,HMDB0000450
Colorectal cancer,HMDB0011731
Colorectal cancer,HMDB0001227
Colorectal cancer,HMDB0000529
Thyroid cancer,HMDB0000449
Colorectal cancer,HMDB0094682
Cerebrotendinous xanthomatosis,HMDB0000908
Cirrhosis,HMDB0000908
Colorectal cancer,HMDB0000908
Colorectal cancer,HMDB0094650
Colorectal cancer,HMDB0000577
Ulcerative colitis,HMDB0000577
Crohn's disease,HMDB0000577
Colorectal cancer,HMDB0002658
Prostate cancer,HMDB0002658
Autosomal  dominant polycystic kidney disease,HMDB0002658
Diabetes mellitus type 2,HMDB0002658
Colorectal cancer,HMDB0061705
Colorectal cancer,HMDB0001316
Colorectal cancer,HMDB0000486
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000486
Colorectal cancer,HMDB0000391
Colorectal cancer,HMDB0000897
Colorectal cancer,HMDB0011107
Colorectal cancer,HMDB0001991
Asthma,HMDB0001991
Cirrhosis,HMDB0001496
Multiple sclerosis,HMDB0001496
Colorectal cancer,HMDB0001496
Multiple sclerosis,HMDB0006119
Colorectal cancer,HMDB0006119
Diabetes mellitus type 2,HMDB0002032
Alzheimer's disease,HMDB0002032
Colorectal cancer,HMDB0002032
Colorectal cancer,HMDB0061914
Colorectal cancer,HMDB0062436
Colorectal cancer,HMDB0001859
Eosinophilic esophagitis,HMDB0001859
Early preeclampsia,HMDB0000042
Pregnancy,HMDB0000042
Late-onset preeclampsia,HMDB0000042
Asthma,HMDB0000042
Multiple sclerosis,HMDB0000042
Crohn's disease,HMDB0000042
Ulcerative colitis,HMDB0000042
Colorectal cancer,HMDB0000042
Irritable bowel syndrome,HMDB0000042
Nonalcoholic fatty liver disease,HMDB0000042
Celiac disease,HMDB0000042
Autism,HMDB0000042
Pervasive developmental disorder not otherwise specified,HMDB0000042
Diverticular disease,HMDB0000042
Gout,HMDB0000042
Sepsis,HMDB0000042
Enteritis,HMDB0000042
Lung Cancer,HMDB0000042
Perillyl alcohol administration for cancer treatment,HMDB0000042
Argininosuccinic aciduria,HMDB0000042
Propionic acidemia,HMDB0000042
Tyrosinemia I,HMDB0000042
Phenylketonuria,HMDB0000042
Maple syrup urine disease,HMDB0000042
Eosinophilic esophagitis,HMDB0000042
Diabetes mellitus type 2,HMDB0000060
Schizophrenia,HMDB0000060
Early preeclampsia,HMDB0000060
Pregnancy,HMDB0000060
Late-onset preeclampsia,HMDB0000060
2-Ketoglutarate dehydrogenase complex deficiency,HMDB0000060
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000060
Ketoacidosis,HMDB0000060
Pyruvate dehydrogenase phosphatase deficiency,HMDB0000060
Anoxia,HMDB0000060
Glucose transporter type 1 deficiency syndrome,HMDB0000060
Meningitis,HMDB0000060
Irritable bowel syndrome,HMDB0000060
Crohn's disease,HMDB0000060
Ulcerative colitis,HMDB0000060
Colorectal cancer,HMDB0000060
Ketosis,HMDB0000060
Eosinophilic esophagitis,HMDB0000060
Kidney disease,HMDB0001659
Alcoholism,HMDB0001659
Pancreatic cancer,HMDB0001659
Early preeclampsia,HMDB0001659
Pregnancy,HMDB0001659
Late-onset preeclampsia,HMDB0001659
Asthma,HMDB0001659
Hepatic encephalopathy,HMDB0001659
Ulcerative colitis,HMDB0001659
Nonalcoholic fatty liver disease,HMDB0001659
Celiac disease,HMDB0001659
Crohn's disease,HMDB0001659
Irritable bowel syndrome,HMDB0001659
Paraquat poisoning,HMDB0001659
Diabetes mellitus type 2,HMDB0001659
Lung Cancer,HMDB0001659
Perillyl alcohol administration for cancer treatment,HMDB0001659
Eosinophilic esophagitis,HMDB0001659
Colorectal cancer,HMDB0000532
Aminoacylase I deficiency,HMDB0000532
Thymidine treatment,HMDB0000034
Meningitis,HMDB0000034
Tuberculous meningitis,HMDB0000034
Colorectal cancer,HMDB0000034
Crohn's disease,HMDB0000034
Ulcerative colitis,HMDB0000034
Alzheimer's disease,HMDB0000034
Frontotemporal dementia,HMDB0000034
Lewy body disease,HMDB0000034
Attachment loss,HMDB0000034
Periodontal Probing Depth,HMDB0000034
Eosinophilic esophagitis,HMDB0000034
Septic shock,HMDB0000050
Irritable bowel syndrome,HMDB0000050
Crohn's disease,HMDB0000050
Ulcerative colitis,HMDB0000050
Colorectal cancer,HMDB0000050
Alzheimer's disease,HMDB0000050
Frontotemporal dementia,HMDB0000050
Lewy body disease,HMDB0000050
Eosinophilic esophagitis,HMDB0000050
Adenosine kinase deficiency,HMDB0000050
Adenylosuccinate lyase deficiency,HMDB0000050
Colorectal cancer,HMDB0011616
Crohn's disease,HMDB0000045
Ulcerative colitis,HMDB0000045
Metastatic melanoma,HMDB0000045
Colorectal cancer,HMDB0000045
Alzheimer's disease,HMDB0000045
Frontotemporal dementia,HMDB0000045
Lewy body disease,HMDB0000045
Attachment loss,HMDB0000045
Missing teeth,HMDB0000045
Periodontal Probing Depth,HMDB0000045
Colorectal cancer,HMDB0000448
Lung Cancer,HMDB0000448
Anorexia nervosa,HMDB0000448
3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,HMDB0000448
Eosinophilic esophagitis,HMDB0000448
Fumarase deficiency,HMDB0000448
Medium Chain Acyl-CoA Dehydrogenase Deficiency,HMDB0000448
Malonyl-Coa decarboxylase deficiency,HMDB0000448
Short Chain Acyl-Coa Dehydrogenase Deficiency,HMDB0000448
Carnitine-acylcarnitine translocase deficiency,HMDB0000448
3-Hydroxydicarboxylic aciduria,HMDB0000448
3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,HMDB0000448
Colorectal cancer,HMDB0001432
Colorectal cancer,HMDB0028680
Colorectal cancer,HMDB0028686
Colorectal cancer,HMDB0006899
Colorectal cancer,HMDB0028689
Colorectal cancer,HMDB0028690
Colorectal cancer,HMDB0028691
Colorectal cancer,HMDB0028694
Colorectal cancer,HMDB0028695
Colorectal cancer,HMDB0028697
Colorectal cancer,HMDB0013209
Colorectal cancer,HMDB0028699
Colorectal cancer,HMDB0028700
Chronic renal failure,HMDB0000462
Schizophrenia,HMDB0000462
Meningitis,HMDB0000462
Crohn's disease,HMDB0000462
Ulcerative colitis,HMDB0000462
Colorectal cancer,HMDB0000462
Eosinophilic esophagitis,HMDB0000462
Alpha-aminoadipic aciduria,HMDB0000510
2-Ketoadipic acidemia,HMDB0000510
Ulcerative colitis,HMDB0000510
Crohn's disease,HMDB0000510
Metastatic melanoma,HMDB0000510
Colorectal cancer,HMDB0000510
Eosinophilic esophagitis,HMDB0000510
Schizophrenia,HMDB0000510
Alpha-aminoadipic and alpha-ketoadipic aciduria,HMDB0000510
Metastatic melanoma,HMDB0033896
Colorectal cancer,HMDB0033896
Benign prostatic hyperplasia,HMDB0000495
Prostate cancer,HMDB0000495
Polycystic ovary syndrome,HMDB0000053
Cushing's Syndrome,HMDB0000053
Schizophrenia,HMDB0000053
"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",HMDB0000053
11-beta-Hydroxylase deficiency,HMDB0000053
21-Hydroxylase deficiency,HMDB0000053
"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",HMDB0000053
"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency",HMDB0000053
X-linked ichthyosis,HMDB0000053
Lipoid Congenital Adrenal Hyperplasia,HMDB0000053
Rheumatoid arthritis,HMDB0000053
Thyroid cancer,HMDB0000053
Ovarian cancer,HMDB0000053
Colorectal cancer,HMDB0002759
Alzheimer's disease,HMDB0000194
Colorectal cancer,HMDB0000194
Eosinophilic esophagitis,HMDB0000194
Colorectal cancer,HMDB0002124
Colorectal cancer,HMDB0000539
Schizophrenia,HMDB0002212
Colorectal cancer,HMDB0002212
Gestational diabetes,HMDB0001043
Hypertension,HMDB0001043
Essential hypertension,HMDB0001043
Schizophrenia,HMDB0001043
Isovaleric acidemia,HMDB0001043
Bladder infections,HMDB0001043
Colorectal cancer,HMDB0001043
Colorectal cancer,HMDB0028712
Colorectal cancer,HMDB0028713
Colorectal cancer,HMDB0028715
Colorectal cancer,HMDB0028716
Obesity,HMDB0028717
Colorectal cancer,HMDB0028717
Colorectal cancer,HMDB0028721
Colorectal cancer,HMDB0028722
Colorectal cancer,HMDB0028735
Colorectal cancer,HMDB0028744
Colorectal cancer,HMDB0028734
Colorectal cancer,HMDB0028757
Crohn's disease,HMDB0028757
Ulcerative colitis,HMDB0028757
Colorectal cancer,HMDB0028764
Colorectal cancer,HMDB0000706
Essential hypertension,HMDB0001539
Kidney disease,HMDB0001539
Uremia,HMDB0001539
